Name;Author;GITHUB Link;MEGA Link;Publication Year;SYNC Link;Topics;Type;cover page
L'Homme Machine;Julien Offray De La Mettrie;https://raw.githubusercontent.com/peatysharing/bibliography/main/Julien%20Offray%20De%20La%20Mettrie/1747%20-%20Julien%20Offray%20De%20La%20Mettrie%20-%20L%27Homme%20Machine.pdf;https://mega.nz/file/ghACRJrZ#XnB4x1ZbCHb29kECGF-gWGFdUNVjkunZzo_Da2tWAV8;1747;;;Book;img/cover page/Julien Offray De La Mettrie/1747 - L'Homme Machine.webp
Machine Man And Other Writings;Julien Offray De La Mettrie;https://raw.githubusercontent.com/peatysharing/bibliography/main/Julien%20Offray%20De%20La%20Mettrie/1996%20-%20Julien%20Offray%20De%20La%20Mettrie%20-%20Machine%20Man%20And%20Other%20Writings.pdf;https://mega.nz/file/l0B3SKaZ#BkuqJkBKOCGrAWcgrfEBXkBXXrtWjuHwIhxmUV-wees;1996;;;Book;img/cover page/Julien Offray De La Mettrie/1996 - Machine Man And Other Writings.webp
Prenatal Exposure To Synthetic Progestins Increases Potential For Aggression In Humans;June Machover Reinisch;https://raw.githubusercontent.com/peatysharing/bibliography/main/June%20Machover%20Reinisch/1981%20-%20June%20Machover%20Reinisch%20-%20Prenatal%20Exposure%20To%20Synthetic%20Progestins%20Increases%20Potential%20For%20Aggression%20In%20Humans.pdf;https://mega.nz/file/dpQVVaJQ#EPBdU-0Olt48LZqg2gsS43CGRKnUxayJuwNucnI2nEM;1981;;;Article;img/cover page/June Machover Reinisch/1981 - Prenatal Exposure To Synthetic Progestins Increases Potential For Aggression In Humans.webp
Prenatal Exposure To Synthetic Progestins And Estrogens, Effects On Human Development;June Machover Reinisch, William G. Karow;https://raw.githubusercontent.com/peatysharing/bibliography/main/June%20Machover%20Reinisch/1977%20-%20June%20Machover%20Reinisch%3B%20William%20G.%20Karow%20-%20Prenatal%20Exposure%20To%20Synthetic%20Progestins%20And%20Estrogens%2C%20Effects%20On%20Human%20Development.pdf;https://mega.nz/file/lpZSCRoT#84_jD5hDcp9eezbNF07tiyhMmSr3rkK7_PLGgXWP9hk;1977;;;Article;img/cover page/June Machover Reinisch/1977 - Prenatal Exposure To Synthetic Progestins And Estrogens, Effects On Human Development.webp
The Effect Of Testosterone During The Neonatal Period On The Thyroid Gland Of Male And Female Rats;K. Brown-Grant;https://raw.githubusercontent.com/peatysharing/bibliography/main/K.%20Brown-Grant/1965%20-%20K.%20Brown-Grant%20-%20The%20Effect%20Of%20Testosterone%20During%20The%20Neonatal%20Period%20On%20The%20Thyroid%20Gland%20Of%20Male%20And%20Female%20Rats.pdf;https://mega.nz/file/19ATFIya#xe2bGpJZWvMGtg-eIRAe4cO2z2d0nZU6BbgRrFVZ92E;1965;;;Article;img/cover page/K. Brown-Grant/1965 - The Effect Of Testosterone During The Neonatal Period On The Thyroid Gland Of Male And Female Rats.webp
The Metabolism Of Iodide By The Thyroid Gland And By The Uterus During Early Pregnancy In The Rat;K. Brown-Grant;https://raw.githubusercontent.com/peatysharing/bibliography/main/K.%20Brown-Grant/1965%20-%20K.%20Brown-Grant%20-%20The%20Metabolism%20Of%20Iodide%20By%20The%20Thyroid%20Gland%20And%20By%20The%20Uterus%20During%20Early%20Pregnancy%20In%20The%20Rat.pdf;https://mega.nz/file/N4YDFbyB#swUDORMQhcgwJtOz3RVsbc0plLkRFA1xRak4_KjXW4U;1965;;;Article;img/cover page/K. Brown-Grant/1965 - The Metabolism Of Iodide By The Thyroid Gland And By The Uterus During Early Pregnancy In The Rat.webp
The Effects Of Treatment With Gonadotrophins Or With Oestrogen On The Thyroid Gland Of The Immature Rat;K. Brown-Grant;https://raw.githubusercontent.com/peatysharing/bibliography/main/K.%20Brown-Grant/1966%20-%20K.%20Brown-Grant%20-%20The%20Effects%20Of%20Treatment%20With%20Gonadotrophins%20Or%20With%20Oestrogen%20On%20The%20Thyroid%20Gland%20Of%20The%20Immature%20Rat.pdf;https://mega.nz/file/o5wCRRSZ#sVcxiPwMbTEpfPwkh0QdFQvaBc74E1KxKOPhrxHCl7A;1966;;;Article;img/cover page/K. Brown-Grant/1966 - The Effects Of Treatment With Gonadotrophins Or With Oestrogen On The Thyroid Gland Of The Immature Rat.webp
Reaction Of Peroxidase With Reduced Nicotinamide-adenine Dinucleotide And Reduced Nicotinamide-adenine Dinucleotide Phosphate;K. Yokota, I. Yamazaki;https://raw.githubusercontent.com/peatysharing/bibliography/main/K.%20Yokota/1965%20-%20K.%20Yokota%3B%20I.%20Yamazaki%20-%20Reaction%20Of%20Peroxidase%20With%20Reduced%20Nicotinamide-adenine%20Dinucleotide%20And%20Reduced%20Nicotinamide-adenine%20Dinucleotide%20Phosphate.pdf;https://mega.nz/file/FsZSSAwL#8o6084pz_9OTF7GYjbL79UgPJG6bf-a-z4C3kg4vhPk;1965;;;Article;img/cover page/K. Yokota/1965 - Reaction Of Peroxidase With Reduced Nicotinamide-adenine Dinucleotide And Reduced Nicotinamide-adenine Dinucleotide Phosphate.webp
Physico-physiological Researches On The Dynamics Of Magnetism, Electricity, Heat, Liht, Crystallization, And Chemism (Part 1);Karl Von Reichenbach;https://raw.githubusercontent.com/peatysharing/bibliography/main/Karl%20Von%20Reichenbach/1851%20-%20Karl%20Von%20Reichenbach%20-%20Physico-physiological%20Researches%20On%20The%20Dynamics%20Of%20Magnetism%2C%20Electricity%2C%20Heat%2C%20Liht%2C%20Crystallization%2C%20And%20Chemism%20%28Part%201%29.pdf;https://mega.nz/file/QwwhGYgQ#eBeyVu8miyVou7KfE5yk7dP5BaQQ5ApqWGlwMNmoN-0;1851;;;;img/cover page/Karl Von Reichenbach/1851 - Physico-physiological Researches On The Dynamics Of Magnetism, Electricity, Heat, Liht, Crystallization, And Chemism.webp
Physico-physiological Researches On The Dynamics Of Magnetism, Electricity, Heat, Liht, Crystallization, And Chemism (Part 2);Karl Von Reichenbach;https://raw.githubusercontent.com/peatysharing/bibliography/main/Karl%20Von%20Reichenbach/1851%20-%20Karl%20Von%20Reichenbach%20-%20Physico-physiological%20Researches%20On%20The%20Dynamics%20Of%20Magnetism%2C%20Electricity%2C%20Heat%2C%20Liht%2C%20Crystallization%2C%20And%20Chemism%20%28Part%202%29.pdf;https://mega.nz/file/QwwhGYgQ#eBeyVu8miyVou7KfE5yk7dP5BaQQ5ApqWGlwMNmoN-0;1851;;;;img/cover page/Karl Von Reichenbach/1851 - Physico-physiological Researches On The Dynamics Of Magnetism, Electricity, Heat, Liht, Crystallization, And Chemism.webp
Physico-physiological Researches On The Dynamics Of Magnetism, Electricity, Heat, Liht, Crystallization, And Chemism (Part 3);Karl Von Reichenbach;https://raw.githubusercontent.com/peatysharing/bibliography/main/Karl%20Von%20Reichenbach/1851%20-%20Karl%20Von%20Reichenbach%20-%20Physico-physiological%20Researches%20On%20The%20Dynamics%20Of%20Magnetism%2C%20Electricity%2C%20Heat%2C%20Liht%2C%20Crystallization%2C%20And%20Chemism%20%28Part%203%29.pdf;https://mega.nz/file/QwwhGYgQ#eBeyVu8miyVou7KfE5yk7dP5BaQQ5ApqWGlwMNmoN-0;1851;;;;img/cover page/Karl Von Reichenbach/1851 - Physico-physiological Researches On The Dynamics Of Magnetism, Electricity, Heat, Liht, Crystallization, And Chemism.webp
Odic-Magnetic Letters;Karl Von Reichenbach;https://raw.githubusercontent.com/peatysharing/bibliography/main/Karl%20Von%20Reichenbach/1860%20-%20Karl%20Von%20Reichenbach%20-%20Odic-Magnetic%20Letters.pdf;https://mega.nz/file/AxIAmJLT#wTvJEwZVcGecmSApEJn_qaspOLZsP-xD2siNt1sTsF8;1860;;;;img/cover page/Karl Von Reichenbach/1860 - Odic-Magnetic Letters.webp
Researches On Magnetism, Electricity, Heat, Light, Crystallization And Chemical Attraction In Relation To The Vital Force;Karl Von Reichenbach;https://raw.githubusercontent.com/peatysharing/bibliography/main/Karl%20Von%20Reichenbach/1974%20-%20Karl%20Von%20Reichenbach%20-%20Researches%20On%20Magnetism%2C%20Electricity%2C%20Heat%2C%20Light%2C%20Crystallization%20And%20Chemical%20Attraction%20In%20Relation%20To%20The%20Vital%20Force.pdf;https://mega.nz/file/AhoARTKY#vYRjDAe9xe3aMM_nIQwrOKiKjA6EGhSFGDl8EVvkzXg;1974;;;Book;img/cover page/Karl Von Reichenbach/1974 - Researches On Magnetism, Electricity, Heat, Light, Crystallization And Chemical Attraction In Relation To The Vital Force.webp
Similarity Of Symptomatology Of Premenstrual Syndrome And Toxaemia Of Pregnancy And Their Response To Progesterone;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1954%20-%20Katharina%20Dalton%20-%20Similarity%20Of%20Symptomatology%20Of%20Premenstrual%20Syndrome%20And%20Toxaemia%20Of%20Pregnancy%20And%20Their%20Response%20To%20Progesterone.pdf;https://mega.nz/file/U8ZE0Y7B#dgo2IbgG-yxuwe6aTiZQeUYE3ZukcsElwrQEFJaLsyg;1954;;;;img/cover page/Katharina Dalton/1954 - Similarity Of Symptomatology Of Premenstrual Syndrome And Toxaemia Of Pregnancy And Their Response To Progesterone.webp
Discussion On The Aftermath Of Hysterectomy And Oophorectomy;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1956%20-%20Katharina%20Dalton%20-%20Discussion%20On%20The%20Aftermath%20Of%20Hysterectomy%20And%20Oophorectomy.pdf;https://mega.nz/file/psJXQBSS#ZHA4YjB1Eertz9Zc2WwDzcxFagP1ExyUMdo5NOEmA3g;1956;;;;img/cover page/Katharina Dalton/1956 - Discussion On The Aftermath Of Hysterectomy And Oophorectomy.webp
Toxaemia Of Pregnancy Treated With Progesterone During The Symptomatic Stage;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1957%20-%20Katherina%20Dalton%20-%20Toxaemia%20Of%20Pregnancy%20Treated%20With%20Progesterone%20During%20The%20Symptomatic%20Stage.pdf;https://mega.nz/file/RgIxXA7T#LDnOb1TrUIoGkqZPD8ENCNdmJ9CvUXAFnHl8fRLjyaU;1957;;;;img/cover page/Katharina Dalton/1957 - Toxaemia Of Pregnancy Treated With Progesterone During The Symptomatic Stage.webp
Comparative Trials Of New Oralprogestogenic Compounds Intreatment Of Premenstrualsyndrome;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1959%20-%20Katharina%20Dalton%20-%20Comparative%20Trials%20Of%20New%20Oralprogestogenic%20Compounds%20Intreatment%20Of%20Premenstrualsyndrome.pdf;https://mega.nz/file/54Y1ATpC#gRmX6jCT4gCeRqovfwjDT5SrKYE8uIhu17BdzWDHaFY;1959;;;;img/cover page/Katharina Dalton/1959 - Comparative Trials Of New Oralprogestogenic Compounds Intreatment Of Premenstrualsyndrome.webp
Menstruation And Acute Psychiatric Illnesses;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1959%20-%20Katharina%20Dalton%20-%20Menstruation%20And%20Acute%20Psychiatric%20Illnesses.pdf;https://mega.nz/file/BtwVzBoR#6FGEwpBvl-ZvOXgFdGQiTWyHOm3wB4WmToB4S14VHkI;1959;;;;img/cover page/Katharina Dalton/1959 - Menstruation And Acute Psychiatric Illnesses.webp
Early Symptoms Of Pre-eclamptic Toxaemia;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1960%20-%20Katharina%20Dalton%20-%20Early%20Symptoms%20Of%20Pre-eclamptic%20Toxaemia.pdf;https://mega.nz/file/40wiEBAT#6Y_iHjBGDRLseFmx5c4983a9sjvJ7ZKxvLiqYsxu3J4;1960;;;;img/cover page/Katharina Dalton/1960 - Early Symptoms Of Pre-eclamptic Toxaemia.webp
Effect Of Menstruation On Schoolgirls' Weekly Work;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1960%20-%20Katharina%20Dalton%20-%20Effect%20Of%20Menstruation%20On%20Schoolgirls%27%20Weekly%20Work.pdf;https://mega.nz/file/dwZkCbgT#hEXxjkIBAIzuHkse8KnmqlF9NAaDxkqS6DU0MYjWuso;1960;;;;img/cover page/Katharina Dalton/1960 - Effect Of Menstruation On Schoolgirls' Weekly Work.webp
Menstruation And Accidents;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1960%20-%20Katharina%20Dalton%20-%20Menstruation%20And%20Accidents.pdf;https://mega.nz/file/gk5G0LKb#QsRREYBHfPwlGJ266SLfCsvTOwahIRX77koE8OD_Baw;1960;;;;img/cover page/Katharina Dalton/1960 - Menstruation And Accidents.webp
Schoolgirls' Behaviour And Menstruation;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1960%20-%20Katharina%20Dalton%20-%20Schoolgirls%27%20Behaviour%20And%20Menstruation.pdf;https://mega.nz/file/AxJSnJgD#rYnR2v0XECs-_3JuhfTD-pd9Mn18I906Won9bMEux6w;1960;;;;img/cover page/Katharina Dalton/1960 - Schoolgirls' Behaviour And Menstruation.webp
Menstruation And Crime;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1961%20-%20Katharina%20Dalton%20-%20Menstruation%20And%20Crime.pdf;https://mega.nz/file/gp5UkTiJ#fI2nlx-GCGkhK-a2q1CIqF3borbJdc90gaaN3wt8jwU;1961;;;;img/cover page/Katharina Dalton/1961 - Menstruation And Crime.webp
The Influence Of Mother's Menstruation On Her Child;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1966%20-%20Katharina%20Dalton%20-%20The%20Influence%20Of%20Mother%27s%20Menstruation%20On%20Her%20Child.pdf;https://mega.nz/file/w9hyRJBA#YgQ4xVHtvBt3vRdAhUu8BqXdLKRTpzc5cQv8p55dJZ4;1966;;;;img/cover page/Katharina Dalton/1966 - The Influence Of Mother's Menstruation On Her Child.webp
Influence Of Menstruation On Glaucoma;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1967%20-%20Katharina%20Dalton%20-%20Influence%20Of%20Menstruation%20On%20Glaucoma.pdf;https://mega.nz/file/0hBHwTKB#jJyi2VgEtTyX1vcen7VRh1kuFyIcPTFLTICvnXVVvOc;1967;;;;img/cover page/Katharina Dalton/1967 - Influence Of Menstruation On Glaucoma.webp
Ante-natal Progesterone And Intelligence;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1968%20-%20Katharina%20Dalton%20-%20Ante-natal%20Progesterone%20And%20Intelligence.pdf;https://mega.nz/file/FxRVRTZI#7hVcIj2T99CFKf-QLvWa7i5S1qSt1c53TkPat0o7Vh8;1968;https://ln5.sync.com/dl/05f674a10/9brmzzvc-qkthjxmg-frju2z7x-mkibhzq6;Endocrinology;Article;img/cover page/Katharina Dalton/1968 - Ante-natal Progesterone And Intelligence.webp
Menstruation And Examinations;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1968%20-%20Katharina%20Dalton%20-%20Menstruation%20And%20Examinations.pdf;https://mega.nz/file/M5JFnaxJ#GbBGyKAhYb1W22O2et2xVQ6MUOlHM5cMAd0-jiJ71kA;1968;;;;img/cover page/Katharina Dalton/1968 - Menstruation And Examinations.webp
Children's Hospital Admissions And Mother's Menstruation;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1970%20-%20Katharina%20Dalton%20-%20Children%27s%20Hospital%20Admissions%20And%20Mother%27s%20Menstruation.pdf;https://mega.nz/file/t8JGhQIZ#1VuizQZnJ63IsJiXPhHLPk_whUZIGi9ngQyjDiqIuZQ;1970;;;;img/cover page/Katharina Dalton/1970 - Children's Hospital Admissions And Mother's Menstruation.webp
Depression - Emotion Or Illness;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1971%20-%20Katharina%20Dalton%20-%20Depression%20-%20Emotion%20Or%20Illness.pdf;https://mega.nz/file/QggzUTRK#KVKMamGXxbPDpuaH60cm3MEP3XrXq_6U-xmLkRnZzYc;1971;;;;img/cover page/Katharina Dalton/1971 - Depression - Emotion Or Illness.webp
Prospective Study Into Puerperal Depression;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1971%20-%20Katharina%20Dalton%20-%20Prospective%20Study%20Into%20Puerperal%20Depression.pdf;https://mega.nz/file/JkBiBKBK#X5PVSAKd2BacP-2Q9dVIyg7BTgzdm2NDMzYOfua8tgI;1971;;;Article;img/cover page/Katharina Dalton/1971 - Prospective Study Into Puerperal Depression.webp
Ovulation Symptoms And Avoidance Of Conception;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1972%20-%20Katharina%20Dalton%20-%20Ovulation%20Symptoms%20And%20Avoidance%20Of%20Conception.pdf;https://mega.nz/file/Npw3FJQY#6Lg8qk5g5pTfOobm8GGslzx4Sduv0UG4xKSyMBSye9M;1972;;;;img/cover page/Katharina Dalton/1972 - Ovulation Symptoms And Avoidance Of Conception.webp
Progesterone Suppositories And Pessaries In The Treatmentof Menstrual Migraine;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1973%20-%20Katharina%20Dalton%20-%20Progesterone%20Suppositories%20And%20Pessaries%20In%20The%20Treatmentof%20Menstrual%20Migraine.pdf;https://mega.nz/file/N5BTQAqJ#3NEO8C308uJurJOeyqyTJ7CK2ulGwOn4oQvAw-KEmcI;1973;;;;img/cover page/Katharina Dalton/1973 - Progesterone Suppositories And Pessaries In The Treatmentof Menstrual Migraine.webp
Valedictory Address;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1973%20-%20Katharina%20Dalton%20-%20Valedictory%20Address.pdf;https://mega.nz/file/IsBykBzA#-kpr_QSO4XZ4JRhTtLGTmCORf1ftJwnh--WLcla6HJU;1973;;;;img/cover page/Katharina Dalton/1973 - Valedictory Address.webp
Food Intake Prior To A Migraine Attack -Study Of 2313 Spontaneous Attacks;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1975%20-%20Katharina%20Dalton%20-%20Food%20Intake%20Prior%20To%20A%20Migraine%20Attack%20-Study%20Of%202313%20Spontaneous%20Attacks.pdf;https://mega.nz/file/wx4gUbCK#TA9hP_zVut_ocKTwA2xEXBwUeyUmGvEYZP2lobKin_c;1975;;;;img/cover page/Katharina Dalton/1975 - Food Intake Prior To A Migraine Attack - Study Of 2313 Spontaneous Attacks.webp
Paramenstrual Baby Battering;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1975%20-%20Katharina%20Dalton%20-%20Paramenstrual%20Baby%20Battering.pdf;https://mega.nz/file/IowjzQII#4oxFbbea2dJtoT8UvH-NCka55tnEXFStseyCsR4NSDo;1975;;;;img/cover page/Katharina Dalton/1975 - Paramenstrual Baby Battering.webp
Migraine And Oral Contracteptives;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1976%20-%20Katharina%20Dalton%20-%20Migraine%20And%20Oral%20Contracteptives.pdf;https://mega.nz/file/5wRGAYJQ#8VMyDampdtbf8MG1B11UWaecRdGJ6IzBM8cGla81eJ0;1976;;;;img/cover page/Katharina Dalton/1976 - Migraine And Oral Contracteptives.webp
Prenatal Progesterone And Educational Attainments;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1976%20-%20Katharina%20Dalton%20-%20Prenatal%20Progesterone%20And%20Educational%20Attainments.pdf;https://mega.nz/file/c9Q2iQaa#N7FtcuDjmIeVV5PUXMjIbN6x0kMJ7yeDrKrCY5Sp-78;1976;;;Article;img/cover page/Katharina Dalton/1976 - Prenatal Progesterone And Educational Attainments.webp
Progesterone Or Progestogens;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1976%20-%20Katharina%20Dalton%20-%20Progesterone%20Or%20Progestogens.pdf;https://mega.nz/file/o150kSjZ#xtXabJg2-JRvUBU4eJPCfGwZ3LZD20olfElYl1LPYTs;1976;;;;img/cover page/Katharina Dalton/1976 - Progesterone Or Progestogens.webp
The Menopause, A Clinician's View;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1976%20-%20Katharina%20Dalton%20-%20The%20Menopause%2C%20A%20Clinician%27s%20View.pdf;https://mega.nz/file/91ZD3byR#-ix2Wws_Tw_CCAbTfcxrUAC5GjjiG6J4lKObJ7r8l54;1976;;;;img/cover page/Katharina Dalton/1976 - The Menopause, A Clinician's View.webp
Hormone Replacement Therapy And The General Practitioner;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1977%20-%20Katharina%20Dalton%20-%20Hormone%20Replacement%20Therapy%20And%20The%20General%20Practitioner.pdf;https://mega.nz/file/AgxwRYAK#ypqkmIFa5VUCCjQkmDDJEAdKyE0xIS8o-myPWB9xnnY;1977;;;;img/cover page/Katharina Dalton/1977 - Hormone Replacement Therapy And The General Practitioner.webp
Progesterone and Enhanced Intelligence (Nursing Mirror);Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1977%20-%20Katharina%20Dalton%20-%20Progesterone%20and%20Enhanced%20Intelligence%20%28Nursing%20Mirror%29.pdf;https://mega.nz/file/R1AwCbCK#ElMUJBxnvu34hJZk9Lt4019UObfn306_x5RXc2wGU3I;1977;;;;img/cover page/Katharina Dalton/1977 - Progesterone and Enhanced Intelligence (Nursing Mirror).webp
The Menopause (Nursing Mirror);Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1977%20-%20Katharina%20Dalton%20-%20The%20Menopause%20%28Nursing%20Mirror%29.pdf;https://mega.nz/file/NpYAiLKC#PE7tmM1VegdQy2ijOV6bRiQf7LaBvsCCD3ox8y9CZ9s;1977;;;;img/cover page/Katharina Dalton/1977 - The Menopause (Nursing Mirror).webp
The Premenstrual Syndrome And Progesterone Therapy;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1977%20-%20Katharina%20Dalton%20-%20The%20Premenstrual%20Syndrome%20And%20Progesterone%20Therapy.pdf;https://mega.nz/file/k0AU3B5b#EksOlhqhC6q5HUahDKAieJwCn0YIfh5EfqTsf26IWYQ;1977;;;;img/cover page/Katharina Dalton/1977 - The Premenstrual Syndrome And Progesterone Therapy.webp
Letters To The Editor;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1978%20-%20Katharina%20Dalton%20-%20Letters%20To%20The%20Editor.pdf;https://mega.nz/file/FlQTABwI#egUXf9eqPkgXm0y9SgwJTYOCU-cZqTKh1cOfzMd11CY;1978;;;;img/cover page/Katharina Dalton/1978 - Letters To The Editor.webp
Menarcheal Age In The Disabled;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1978%20-%20Katharina%20Dalton%20-%20Menarcheal%20Age%20In%20The%20Disabled.pdf;https://mega.nz/file/lpInES4Y#rC5b2VGM-WooesFRT5eCRpCBn-kqTTsjCs8nEHWIFSU;1978;;;;img/cover page/Katharina Dalton/1978 - Menarcheal Age In The Disabled.webp
Correspondence About The Secretion Patterns Of Different Forms Of Progesterone In Early Abnormal Pregnancy;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1979%20-%20Katharina%20Dalton%20-%20Correspondence%20About%20The%20Secretion%20Patterns%20Of%20Different%20Forms%20Of%20Progesterone%20In%20Early%20Abnormal%20Pregnancy.pdf;https://mega.nz/file/k8hTARyQ#UiqBPyMVsocVaI7rBNJ8Ts5zmVwYBbZHXDMQgDRiYbw;1979;;;;img/cover page/Katharina Dalton/1979 - Correspondence About The Secretion Patterns Of Different Forms Of Progesterone In Early Abnormal Pregnancy.webp
Food Intake Before Migraine Attacks In Children;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1979%20-%20Katharina%20Dalton%20-%20Food%20Intake%20Before%20Migraine%20Attacks%20In%20Children.pdf;https://mega.nz/file/Ftg1GarJ#bO2Cq-5_K5k8fhAc2Pq8NylpWMJp_NQvMfZ6g5awOMg;1979;;;;img/cover page/Katharina Dalton/1979 - Food Intake Before Migraine Attacks In Children.webp
Intelligence And Prenatal Progesterone - A Reappraisal;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1979%20-%20Katharina%20Dalton%20-%20Intelligence%20And%20Prenatal%20Progesterone%20-%20A%20Reappraisal.pdf;https://mega.nz/file/l5RQgLCL#xSVC0tLYbUPlYQFb_UUvGrnGRU5ADtxFZJVF3Stn4mk;1979;;;;img/cover page/Katharina Dalton/1979 - Intelligence And Prenatal Progesterone - A Reappraisal.webp
Intelligence And Prenatal Progesterone;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1979%20-%20Katharina%20Dalton%20-%20Intelligence%20And%20Prenatal%20Progesterone.pdf;https://mega.nz/file/U8YjnbJI#Ncya4SOcN5NSUv98EJqt0hvwsspI_Auwg8_s2_NfhYw;1979;;;;img/cover page/Katharina Dalton/1979 - Intelligence And Prenatal Progesterone.webp
Cyclical Criminal Acts In Premenstrual Syndrome;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1980%20-%20Katharina%20Dalton%20-%20Cyclical%20Criminal%20Acts%20In%20Premenstrual%20Syndrome.pdf;https://mega.nz/file/Q9ZTjT5a#IaD9Nq4twuLtNFUMYu_acN1MaLaAAW_yOAbuebls6TA;1980;;;;img/cover page/Katharina Dalton/1980 - Cyclical Criminal Acts In Premenstrual Syndrome.webp
Progesterone, Fluid, And Electrolytes In Premenstrual Syndrome;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1980%20-%20Katharina%20Dalton%20-%20Progesterone%2C%20Fluid%2C%20And%20Electrolytes%20In%20Premenstrual%20Syndrome.pdf;https://mega.nz/file/VgQhWQib#x8MhBEuhWqzvVpLyck9EMOnTZTDbJd2s2X0-y-C2yNQ;1980;;;;img/cover page/Katharina Dalton/1980 - Progesterone, Fluid, And Electrolytes In Premenstrual Syndrome.webp
Premenstrual Syndrome;Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1980%20-%20Katherina%20Dalton%20-%20Premenstrual%20Syndrome.pdf;https://mega.nz/file/px5CAb7R#6_Y1xuFMpuA5gtTKb2Szm5tMeQsWBzzR2uZAf97roIE;1980;;;;img/cover page/Katharina Dalton/1980 - Premenstrual Syndrome.webp
The Effect of Progesterone and Progestogens on the Foetus (Neuropharmacology);Katharina Dalton;https://raw.githubusercontent.com/peatysharing/bibliography/main/Katharina%20Dalton/1981%20-%20Katharina%20Dalton%20-%20The%20Effect%20of%20Progesterone%20and%20Progestogens%20on%20the%20Foetus%20%28Neuropharmacology%29.pdf;https://mega.nz/file/MopSDJKB#WpA7mqm7yqu5nevg1I58UxBWyLdwakYYpsQY7t6G6nc;1981;;;;img/cover page/Katharina Dalton/1981 - The Effect of Progesterone and Progestogens on the Foetus (Neuropharmacology).webp
